I_74.jpg: PSNR = 17.85, MSE = 0.02
IMG_0418.JPG.jpg: PSNR = 17.57, MSE = 0.02
I5_46.jpg: PSNR = 21.64, MSE = 0.01
I5_52.jpg: PSNR = 20.85, MSE = 0.01
IMG_0408.JPG.jpg: PSNR = 15.86, MSE = 0.03
IMG_0335.JPG.jpg: PSNR = 17.82, MSE = 0.02
I2_73.jpg: PSNR = 19.98, MSE = 0.01
IMG_0325.JPG.jpg: PSNR = 16.94, MSE = 0.02
I2_67.jpg: PSNR = 19.18, MSE = 0.01
I5_85.jpg: PSNR = 18.36, MSE = 0.01
